benchmark_id,candidate_id,function,num_losses,mean_best_hard_val_loss,std_best_hard_val_loss,mean_final_hard_val_loss,mean_epochs_trained,status
eggholder_llm_k5_l4_canonical_v1_candidate_0010_20260513_092902,0010,eggholder,4,53313.412760416664,1031.7127122503784,53905.979166666664,56.666666666666664,ok
eggholder_pilot_k5_l3_v2_candidate_0018_20260511_104400,0018,eggholder,3,53338.904947916664,7599.3943205098885,53383.095052083336,96.0,ok
eggholder_pilot_k5_l3_v2_candidate_0001_20260511_091948,0001,eggholder,3,53380.286458333336,4167.956035436243,54042.020833333336,63.666666666666664,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0016_20260513_100058,0016,eggholder,4,53674.736979166664,10525.683556781833,53903.377604166664,86.66666666666667,ok
eggholder_pilot_k5_l3_v2_candidate_0003_20260511_092920,0003,eggholder,3,53933.704427083336,3175.364745722131,54285.8984375,84.66666666666667,ok
eggholder_pilot_k5_l3_v2_candidate_0008_20260511_095420,0008,eggholder,3,54195.516927083336,9444.256150010624,54540.088541666664,89.66666666666667,ok
eggholder_pilot_k5_l3_v2_candidate_0014_20260511_102408,0014,eggholder,3,54414.197916666664,6827.597172861762,55195.56640625,74.0,ok
eggholder_pilot_k5_l3_v1_candidate_0003_20260510_145921,0003,eggholder,3,54550.645833333336,5020.396531274299,54877.125,83.66666666666667,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0013_20260513_094504,0013,eggholder,4,54620.2578125,7923.863583626295,55122.8984375,69.33333333333333,ok
eggholder_pilot_k5_v2_candidate_0009_20260510_110300,0009,eggholder,4,54648.49609375,6240.180208333801,55060.600260416664,69.33333333333333,ok
eggholder_pilot_k5_l3_v2_candidate_0007_20260511_094921,0007,eggholder,3,54692.567708333336,13925.865625404864,55943.5625,66.66666666666667,ok
eggholder_pilot_k5_l3_v2_candidate_0017_20260511_103913,0017,eggholder,3,54828.2109375,6155.321816306817,55257.604166666664,71.66666666666667,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0006_20260513_090640,0006,eggholder,4,55221.809895833336,4316.902669368711,55412.352864583336,86.0,ok
eggholder_pilot_k5_l3_v1_candidate_0005_20260510_150418,0005,eggholder,3,55306.848958333336,7879.2259595148735,55539.473958333336,74.0,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0008_20260513_091755,0008,eggholder,4,56429.588541666664,7932.912541702491,57279.266927083336,63.333333333333336,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0015_20260513_095529,0015,eggholder,4,57020.430989583336,9665.699254051235,57438.563802083336,69.66666666666667,ok
eggholder_pilot_k5_l3_v2_candidate_0006_20260511_094448,0006,eggholder,3,57872.479166666664,1184.226216796156,58721.018229166664,66.33333333333333,ok
eggholder_pilot_k5_l3_v2_candidate_0002_20260511_092432,0002,eggholder,3,58209.044270833336,5867.820146066561,59182.942708333336,58.0,ok
eggholder_pilot_k5_v3_candidate_0006_20260510_141258,0006,eggholder,4,58446.282552083336,1249.5308287007201,58779.532552083336,72.33333333333333,ok
eggholder_pilot_k5_l3_v2_candidate_0019_20260511_104923,0019,eggholder,3,59050.091145833336,4010.360035366438,60001.96484375,60.333333333333336,ok
eggholder_pilot_k5_l3_v2_candidate_0005_20260511_094001,0005,eggholder,3,60790.069010416664,8520.925715677067,61225.264322916664,66.66666666666667,ok
eggholder_pilot_k5_v3_candidate_0010_20260510_143107,0010,eggholder,4,62320.45703125,9469.779928310645,62503.03515625,79.33333333333333,ok
eggholder_pilot_k5_v3_candidate_0004_20260510_140352,0004,eggholder,4,62780.869791666664,2778.932136579753,63306.084635416664,53.0,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0011_20260513_093403,0011,eggholder,4,62980.727864583336,6640.7442497261045,63792.06640625,73.0,ok
eggholder_pilot_k5_l3_v2_candidate_0013_20260511_101957,0013,eggholder,3,66750.54296875,1421.585008170571,68384.79166666667,50.333333333333336,ok
