experiment_name,run_uuid,run_name,status,function,model_arch,n_params,best_val_loss,final_test_loss,hessian_trace,critical_sharpness,grad_cosine_sim,grad_noise_scale,train_per_param
sweep-bukin-v3-ratio,6fa4a5e586664304bd8865f9635dfabd,trial004_fourier_h16_b0_f24_s10.6_lr1.4e-04_bs128,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,801.0,76277.4609375,75338.171875,12238.6103515625,1.1771496668357162,0.9997220635414124,6189.282850556038,9.987515605493133
sweep-franke-v3-ratio,6fb67dfc1168413abf5d019218ebe12e,trial042_siren_h20_l3_w15_lr1.2e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,8.940706902649254e-05,0.00011177878332091495,901.4303588867188,0.0012059767393722905,0.6508330702781677,9.920715830419488e-06,8.686210640608035
sweep-bukin-v3-ratio,709612f5eb144c17aa781d954402ed6f,trial127_fourier_h12_b1_f12_s2.1_lr1.5e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,7.362086772918701,12.41532039642334,117783.3984375,0.09198939155067598,0.17096376419067383,586.0430576604143,12.8
sweep-levy-v3-ratio,70bde0c2d35243f69f1a761e28c6d6d5,trial004_fourier_h16_b1_f16_s7.6_lr1.6e-04_bs64,FINISHED,levy_n20000_k3_ss6_seed42_train,fourier,1089.0,250.1906280517578,260.2659912109375,7001.21728515625,1.2708038282551413,-0.05861784145236015,41.878673768692735,7.3461891643709825
sweep-franke-v3-ratio,74ca7d6dc9a9433a99f4ada1d71a2d17,trial055_siren_h20_l3_w14_lr4.2e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,0.00010932682198472321,0.00012455583782866597,626.5761108398438,0.0011481794613209689,0.7425009608268738,1.4616852031029586e-05,8.686210640608035
sweep-bukin-v3-ratio,75cb51e25f8b40b598156926603ce853,trial109_fourier_h12_b1_f12_s2.3_lr1.8e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,11.647019386291504,14.625015258789062,58239.5859375,0.01948646997273284,0.8195526003837585,538.3315546182222,12.8
sweep-franke-v3-ratio,75f24d5b7e634a3eba065367c82d7418,trial130_siren_h16_l3_w18_lr7.0e-05_bs64,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,609.0,9.678294736659154e-05,9.399257396580651e-05,1271.7666015625,0.0010841994632516444,-0.38086554408073425,0.0028623170127218163,13.136288998357964
sweep-levy-v3-ratio,767addc09e0045b5a2d62c27160df23e,trial082_fourier_h12_b2_f20_s1.0_lr7.4e-03_bs256,FINISHED,levy_n20000_k3_ss6_seed42_train,fourier,1129.0,0.5632331371307373,0.6860347390174866,13810.189453125,0.02537347649039475,-0.5764589905738831,0.3027199668657247,7.085916740478299
sweep-levy-v3-ratio,76b60f6adcce4f8f87e85505a14a0d13,trial238_mlp_h12_b2_gelu_lr2.4e-02_bs256,FINISHED,levy_n20000_k3_ss6_seed42_train,mlp,673.0,1.6004090309143066,2.1864421367645264,29735.60546875,0.020380094305753722,0.7776570320129395,18.574266787775088,11.887072808320951
sweep-franke-v3-ratio,76d4ffe4ba44479ab4f7926f9c337946,trial070_siren_h20_l3_w15_lr1.2e-04_bs32,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,0.00010479513002792373,0.00012348675227258354,697.6257934570312,0.00178937858420802,0.2150610089302063,1.067442708387708e-05,8.686210640608035
